customer_id,customer_name,age,gender,city,signup_date
C00001,Customer_1,56,Female,Bangalore,2025-09-11
C00002,Customer_2,46,Other,Meerut,2023-01-24
C00003,Customer_3,32,Female,Pune,2023-08-09
C00004,Customer_4,60,Male,Hyderabad,2023-11-11
C00005,Customer_5,25,Female,Pune,2023-10-21
C00006,Customer_6,38,Male,Pune,2025-10-30
C00007,Customer_7,56,Male,Gurgaon,2025-10-16
C00008,Customer_8,36,Female,Ghaziabad,2025-10-14
C00009,Customer_9,40,Female,Ghaziabad,2024-09-29
C00010,Customer_10,28,Female,Meerut,2023-09-24
C00011,Customer_11,28,Male,Hyderabad,2023-03-29
C00012,Customer_12,41,Female,Hyderabad,2024-03-30
C00013,Customer_13,53,Male,Chennai,2025-01-26
C00014,Customer_14,57,Other,Delhi,2024-03-06
C00015,Customer_15,41,Other,Pune,2025-06-29
C00016,Customer_16,20,Female,Delhi,2023-08-30
C00017,Customer_17,39,Female,Noida,2024-12-02
C00018,Customer_18,19,Female,Mumbai,2025-06-20
C00019,Customer_19,41,Female,Pune,2025-01-10
C00020,Customer_20,61,Male,Delhi,2023-03-07
C00021,Customer_21,47,Male,Gurgaon,2025-08-29
C00022,Customer_22,55,Female,Mumbai,2024-01-13
C00023,Customer_23,19,Female,Hyderabad,2024-01-23
C00024,Customer_24,38,Male,Unknown,2025-02-19
C00025,Customer_25,50,Female,Pune,2023-07-28
C00026,Customer_26,29,Male,Hyderabad,2023-01-16
C00027,Customer_27,39,Female,Chennai,2025-09-12
C00028,Customer_28,61,Female,Gurgaon,2024-01-02
C00029,Customer_29,42,Female,Pune,2025-02-18
C00030,Customer_30,44,Female,Unknown,2024-03-15
C00031,Customer_31,59,Male,Pune,2024-11-20
C00032,Customer_32,45,Male,Mumbai,2025-11-25
C00033,Customer_33,33,Female,Pune,2025-04-26
C00034,Customer_34,32,Female,Delhi,2024-02-26
C00035,Customer_35,64,Male,Bangalore,2024-08-30
C00036,Customer_36,61,Female,Mumbai,2023-01-20
C00037,Customer_37,20,Male,Meerut,2024-11-06
C00038,Customer_38,54,Female,Meerut,2024-01-17
C00039,Customer_39,24,Female,Mumbai,2024-08-31
C00040,Customer_40,38,Male,Gurgaon,2023-05-23
C00041,Customer_41,26,Male,Bangalore,2023-03-03
C00042,Customer_42,56,Female,Mumbai,2023-08-26
C00043,Customer_43,35,Female,Delhi,2025-07-15
C00044,Customer_44,21,Female,Noida,2023-12-08
C00045,Customer_45,42,Female,Ghaziabad,2024-03-30
C00046,Customer_46,31,Female,Pune,2023-10-09
C00047,Customer_47,26,Other,Chennai,2025-06-04
C00048,Customer_48,43,Female,Bangalore,2025-10-21
C00049,Customer_49,19,Female,Delhi,2024-12-23
C00050,Customer_50,37,Male,Chennai,2023-03-28
C00051,Customer_51,45,Male,Meerut,2024-10-26
C00052,Customer_52,64,Female,Mumbai,2025-05-11
C00053,Customer_53,24,Male,Bangalore,2023-03-02
C00054,Customer_54,61,Female,Hyderabad,2025-03-07
C00055,Customer_55,25,Female,Pune,2023-04-05
C00056,Customer_56,64,Female,Ghaziabad,2025-02-24
C00057,Customer_57,52,Male,Meerut,2025-08-18
C00058,Customer_58,31,Male,Mumbai,2023-10-24
C00059,Customer_59,34,Male,Pune,2024-11-24
C00060,Customer_60,53,Male,Meerut,2024-02-03
C00061,Customer_61,57,Male,Hyderabad,2025-08-03
C00062,Customer_62,21,Female,Chennai,2024-06-17
C00063,Customer_63,19,Female,Ghaziabad,2024-02-06
C00064,Customer_64,23,Female,Ghaziabad,2023-05-10
C00065,Customer_65,59,Female,Pune,2023-10-19
C00066,Customer_66,21,Male,Unknown,2023-10-03
C00067,Customer_67,46,Female,Pune,2025-06-30
C00068,Customer_68,35,Female,Meerut,2025-07-14
C00069,Customer_69,43,Male,Delhi,2023-02-24
C00070,Customer_70,61,Female,Ghaziabad,2025-01-08
C00071,Customer_71,51,Male,Noida,2025-11-15
C00072,Customer_72,27,Female,Ghaziabad,2025-02-03
C00073,Customer_73,53,Other,Pune,2024-10-03
C00074,Customer_74,31,Male,Meerut,2024-12-24
C00075,Customer_75,48,Female,Delhi,2025-03-12
C00076,Customer_76,32,Female,Mumbai,2025-01-07
C00077,Customer_77,25,Other,Delhi,2025-01-27
C00078,Customer_78,31,Male,Hyderabad,2024-07-20
C00079,Customer_79,40,Female,Gurgaon,2023-12-06
C00080,Customer_80,57,Male,Unknown,2023-06-02
C00081,Customer_81,38,Male,Bangalore,2025-09-30
C00082,Customer_82,33,Male,Chennai,2024-03-02
C00083,Customer_83,62,Other,Bangalore,2025-09-29
C00084,Customer_84,35,Female,Bangalore,2023-07-23
C00085,Customer_85,64,Female,Unknown,2023-11-21
C00086,Customer_86,41,Female,Meerut,2025-08-07
C00087,Customer_87,43,Male,Bangalore,2025-08-08
C00088,Customer_88,42,Male,Pune,2025-07-27
C00089,Customer_89,62,Male,Delhi,2025-08-14
C00090,Customer_90,58,Male,Meerut,2025-06-12
C00091,Customer_91,46,Male,Gurgaon,2024-03-10
C00092,Customer_92,32,Male,Noida,2024-01-06
C00093,Customer_93,62,Male,Pune,2025-07-21
C00094,Customer_94,18,Male,Mumbai,2023-09-06
C00095,Customer_95,42,Male,Chennai,2025-06-09
C00096,Customer_96,24,Male,Mumbai,2023-06-30
C00097,Customer_97,26,Other,Meerut,2024-12-03
C00098,Customer_98,41,Female,Hyderabad,2025-09-25
C00099,Customer_99,18,Other,Meerut,2023-03-19
C00100,Customer_100,61,Male,Noida,2025-07-07
C00101,Customer_101,25,Male,Gurgaon,2025-06-03
C00102,Customer_102,41,Female,Ghaziabad,2023-12-02
C00103,Customer_103,28,Male,Meerut,2023-02-19
C00104,Customer_104,34,Male,Gurgaon,2023-03-26
C00105,Customer_105,25,Male,Mumbai,2024-11-25
C00106,Customer_106,52,Male,Meerut,2023-01-04
C00107,Customer_107,52,Male,Unknown,2025-09-19
C00108,Customer_108,50,Male,Bangalore,2023-11-13
C00109,Customer_109,22,Female,Mumbai,2025-02-01
C00110,Customer_110,59,Male,Chennai,2024-09-03
C00111,Customer_111,56,Male,Chennai,2025-10-01
C00112,Customer_112,58,Female,Pune,2025-07-02
C00113,Customer_113,45,Male,Hyderabad,2025-03-09
C00114,Customer_114,24,Male,Ghaziabad,2023-04-29
C00115,Customer_115,26,Female,Meerut,2023-12-16
C00116,Customer_116,25,Male,Meerut,2025-07-05
C00117,Customer_117,29,Male,Pune,2024-11-17
C00118,Customer_118,51,Female,Hyderabad,2024-06-25
C00119,Customer_119,50,Male,Mumbai,2025-12-14
C00120,Customer_120,40,Female,Meerut,2023-12-27
C00121,Customer_121,41,Female,Gurgaon,2024-12-08
C00122,Customer_122,54,Male,Delhi,2024-11-15
C00123,Customer_123,52,Female,Hyderabad,2023-11-26
C00124,Customer_124,61,Female,Meerut,2023-08-07
