delivery_partner_id,partner_name,vehicle_type,city,joining_date,rating
D0001,Partner_1,Bike,Delhi,2023-01-01,3.8
D0002,Partner_2,Bicycle,Pune,2025-06-16,3.1
D0003,Partner_3,Scooter,Hyderabad,2023-09-16,4.2
D0004,Partner_4,Scooter,Mumbai,2024-07-08,4.3
D0005,Partner_5,Bicycle,Gurgaon,2023-07-15,3.4
D0006,Partner_6,Scooter,Bangalore,2024-04-02,4.7
D0007,Partner_7,Bike,Gurgaon,2024-08-24,4.1
D0008,Partner_8,Scooter,Chennai,2023-10-25,4.3
D0009,Partner_9,Scooter,Ghaziabad,2024-01-21,3.2
D0010,Partner_10,Scooter,Ghaziabad,2025-11-20,2.5
D0011,Partner_11,Bike,Gurgaon,2025-11-19,4.7
D0012,Partner_12,Scooter,Chennai,2025-01-03,4.6
D0013,Partner_13,Scooter,Bangalore,2025-01-26,2.8
D0014,Partner_14,Scooter,Meerut,2023-01-18,3.4
D0015,Partner_15,Bicycle,Hyderabad,2025-10-25,4.2
D0016,Partner_16,Bicycle,Hyderabad,2025-08-01,4.1
D0017,Partner_17,Scooter,Gurgaon,2025-07-03,4.7
D0018,Partner_18,Bicycle,Hyderabad,2022-11-05,2.9
D0019,Partner_19,Bicycle,Gurgaon,2022-06-25,3.6
D0020,Partner_20,Bike,Ghaziabad,2022-08-16,2.7
D0021,Partner_21,Bicycle,Delhi,2022-12-13,3.5
D0022,Partner_22,Bicycle,Meerut,2025-09-27,2.5
D0023,Partner_23,Scooter,Hyderabad,2025-06-16,4.7
D0024,Partner_24,Bike,Noida,2024-10-17,3.8
D0025,Partner_25,Bike,Ghaziabad,2022-12-16,4.6
D0026,Partner_26,Bike,Chennai,2023-03-31,2.6
D0027,Partner_27,Bicycle,Noida,2023-03-17,3.1
D0028,Partner_28,Scooter,Pune,2024-01-31,3.1
D0029,Partner_29,Bike,Hyderabad,2023-05-30,3.5
D0030,Partner_30,Bike,Gurgaon,2025-01-09,4.5
D0031,Partner_31,Bicycle,Hyderabad,2025-10-16,3.5
D0032,Partner_32,Bike,Bangalore,2022-10-15,3.0
D0033,Partner_33,Scooter,Bangalore,2022-01-08,2.7
D0034,Partner_34,Bike,Mumbai,2022-03-28,2.7
D0035,Partner_35,Scooter,Meerut,2024-09-24,4.4
D0036,Partner_36,Scooter,Bangalore,2022-10-13,3.6
D0037,Partner_37,Scooter,Delhi,2025-11-23,4.3
D0038,Partner_38,Bicycle,Gurgaon,2022-03-15,4.2
D0039,Partner_39,Bicycle,Hyderabad,2025-02-20,2.8
D0040,Partner_40,Scooter,Meerut,2025-11-01,2.9
D0041,Partner_41,Scooter,Meerut,2024-03-16,4.4
D0042,Partner_42,Bike,Pune,2025-03-12,4.3
D0043,Partner_43,Bike,Noida,2022-06-07,3.4
D0044,Partner_44,Bike,Mumbai,2023-03-06,2.7
D0045,Partner_45,Bicycle,Hyderabad,2025-12-04,2.5
D0046,Partner_46,Bike,Mumbai,2025-10-26,3.2
D0047,Partner_47,Scooter,Meerut,2025-02-06,2.5
D0048,Partner_48,Scooter,Bangalore,2024-04-25,3.1
D0049,Partner_49,Bicycle,Ghaziabad,2022-02-05,3.5
D0050,Partner_50,Bicycle,Mumbai,2025-01-18,2.8
