payment_id,order_id,payment_method,payment_status,transaction_amount
P000001,O000001,Wallet,Successful,329.24
P000002,O000002,UPI,Successful,775.54
P000003,O000003,Cash,Successful,399.19
P000004,O000004,UPI,Successful,787.6899999999999
P000005,O000005,Debit Card,Successful,506.80999999999995
P000006,O000006,Wallet,Successful,178.85000000000002
P000007,O000007,Debit Card,Successful,987.91
P000008,O000008,Debit Card,Successful,432.13
P000009,O000009,Credit Card,Successful,289.13
P000010,O000010,Cash,Successful,749.42
P000011,O000011,UPI,Failed,628.4
P000012,O000012,Wallet,Successful,1364.42
P000013,O000013,Cash,Successful,1103.26
P000014,O000014,Credit Card,Successful,1364.91
P000015,O000015,Credit Card,Successful,377.93
P000016,O000016,Credit Card,Successful,681.17
P000017,O000017,Wallet,Successful,1033.7
P000018,O000018,Cash,Successful,281.53999999999996
P000019,O000019,Cash,Successful,241.76
P000020,O000020,Debit Card,Successful,1239.47
P000021,O000021,Debit Card,Failed,1096.6399999999999
P000022,O000022,Debit Card,Successful,423.08
P000023,O000023,Cash,Successful,501.05999999999995
P000024,O000024,UPI,Successful,1204.01
P000025,O000025,Credit Card,Successful,297.35999999999996
P000026,O000026,Wallet,Successful,1760.27
P000027,O000027,Cash,Successful,1409.98
P000028,O000028,Credit Card,Successful,1490.3500000000001
P000029,O000029,UPI,Successful,455.72
P000030,O000030,UPI,Successful,115.89999999999999
P000031,O000031,Debit Card,Failed,1646.72
P000032,O000032,Cash,Refunded,579.4699999999999
P000033,O000033,Cash,Successful,506.28
P000034,O000034,UPI,Successful,511.97
P000035,O000035,UPI,Successful,509.93
P000036,O000036,Wallet,Successful,1169.3300000000002
P000037,O000037,UPI,Successful,1329.34
P000038,O000038,Debit Card,Successful,1538.97
P000039,O000039,Credit Card,Successful,1050.74
P000040,O000040,UPI,Successful,538.64
P000041,O000041,Cash,Successful,842.71
P000042,O000042,Credit Card,Successful,465.38
P000043,O000043,Credit Card,Successful,231.16000000000003
P000044,O000044,Wallet,Successful,273.91
P000045,O000045,Debit Card,Successful,1192.95
P000046,O000046,Debit Card,Successful,172.85000000000002
P000047,O000047,Cash,Failed,1586.6200000000001
P000048,O000048,Wallet,Successful,1637.65
P000049,O000049,UPI,Successful,359.70000000000005
P000050,O000050,Wallet,Successful,679.1700000000001
P000051,O000051,Cash,Failed,1153.3999999999999
P000052,O000052,Wallet,Successful,1452.72
P000053,O000053,Wallet,Successful,1289.58
P000054,O000054,Credit Card,Successful,495.26
P000055,O000055,Wallet,Successful,206.7
P000056,O000056,Debit Card,Successful,472.6
P000057,O000057,Debit Card,Successful,803.35
P000058,O000058,Cash,Successful,638.45
P000059,O000059,Wallet,Successful,1328.77
P000060,O000060,Cash,Successful,415.81999999999994
P000061,O000061,Debit Card,Successful,1504.1000000000001
P000062,O000062,Debit Card,Successful,478.42
P000063,O000063,Wallet,Successful,638.0
P000064,O000064,UPI,Successful,870.77
P000065,O000065,Credit Card,Successful,485.2299999999999
P000066,O000066,UPI,Successful,1139.58
P000067,O000067,Credit Card,Successful,787.23
P000068,O000068,Debit Card,Successful,1593.4099999999999
P000069,O000069,UPI,Successful,1880.6399999999999
P000070,O000070,Wallet,Successful,1600.5400000000002
P000071,O000071,UPI,Successful,1070.73
P000072,O000072,Debit Card,Successful,825.8800000000001
P000073,O000073,Cash,Successful,482.56
P000074,O000074,Wallet,Successful,1196.31
P000075,O000075,UPI,Successful,1816.01
P000076,O000076,Cash,Successful,224.49
P000077,O000077,UPI,Successful,1335.79
P000078,O000078,Credit Card,Successful,1279.8000000000002
P000079,O000079,Credit Card,Successful,1809.09
P000080,O000080,Wallet,Successful,577.56
P000081,O000081,Credit Card,Successful,567.36
P000082,O000082,Cash,Successful,398.6700000000001
P000083,O000083,UPI,Failed,1503.76
P000084,O000084,Debit Card,Successful,335.36
P000085,O000085,Cash,Successful,598.8199999999999
P000086,O000086,Cash,Successful,565.16
P000087,O000087,Debit Card,Successful,713.6
P000088,O000088,Debit Card,Successful,753.74
P000089,O000089,Debit Card,Successful,1002.5100000000001
P000090,O000090,UPI,Successful,1482.0800000000002
P000091,O000091,Debit Card,Successful,455.32000000000005
P000092,O000092,Debit Card,Successful,1377.3
P000093,O000093,Debit Card,Successful,1369.41
P000094,O000094,Cash,Successful,287.44
P000095,O000095,UPI,Successful,1480.25
P000096,O000096,Credit Card,Successful,264.86
P000097,O000097,UPI,Successful,1366.69
P000098,O000098,Wallet,Successful,1027.53
P000099,O000099,Wallet,Successful,1062.5099999999998
P000100,O000100,Cash,Successful,475.24
P000101,O000101,Wallet,Successful,888.49
P000102,O000102,Wallet,Successful,1145.53
P000103,O000103,Debit Card,Successful,1183.42
P000104,O000104,Debit Card,Successful,1470.77
P000105,O000105,UPI,Successful,1264.97
P000106,O000106,Wallet,Successful,468.84000000000003
P000107,O000107,Credit Card,Successful,297.33
P000108,O000108,Cash,Successful,1294.16
P000109,O000109,UPI,Successful,1104.01
P000110,O000110,Debit Card,Successful,338.68
P000111,O000111,Debit Card,Successful,350.98
P000112,O000112,UPI,Successful,99.33000000000001
P000113,O000113,UPI,Successful,1072.55
P000114,O000114,Wallet,Successful,894.4199999999998
P000115,O000115,Wallet,Successful,882.0400000000001
P000116,O000116,Cash,Successful,572.05
P000117,O000117,Credit Card,Successful,790.45
P000118,O000118,UPI,Successful,1180.4099999999999
P000119,O000119,UPI,Successful,360.54
P000120,O000120,UPI,Successful,454.99
P000121,O000121,Credit Card,Successful,1058.51
P000122,O000122,Debit Card,Successful,1483.6999999999998
P000123,O000123,UPI,Successful,738.4
P000124,O000124,Credit Card,Successful,1650.44
P000125,O000125,Wallet,Successful,184.32000000000002
P000126,O000126,Wallet,Successful,247.0
P000127,O000127,Wallet,Successful,905.56
P000128,O000128,Wallet,Successful,1274.4199999999998
P000129,O000129,Cash,Successful,791.46
P000130,O000130,Cash,Successful,848.8599999999999
P000131,O000131,Credit Card,Successful,133.74
P000132,O000132,Credit Card,Successful,726.3
P000133,O000133,Cash,Successful,446.93
P000134,O000134,Wallet,Failed,977.3599999999999
P000135,O000135,Wallet,Successful,864.0799999999999
P000136,O000136,Cash,Successful,1315.66
P000137,O000137,Debit Card,Successful,1010.46
P000138,O000138,Wallet,Successful,1013.2099999999999
P000139,O000139,Wallet,Successful,849.3299999999999
P000140,O000140,Debit Card,Successful,1572.33
P000141,O000141,Credit Card,Successful,1381.34
P000142,O000142,Debit Card,Successful,1416.26
P000143,O000143,Credit Card,Successful,977.73
P000144,O000144,Wallet,Refunded,989.1000000000001
P000145,O000145,Debit Card,Successful,616.1999999999999
P000146,O000146,UPI,Successful,1534.53
P000147,O000147,Cash,Refunded,358.03999999999996
P000148,O000148,Wallet,Successful,121.0
P000149,O000149,Cash,Successful,1234.25
P000150,O000150,UPI,Successful,313.49
P000151,O000151,UPI,Successful,1326.8899999999999
P000152,O000152,UPI,Successful,1191.07
P000153,O000153,Cash,Successful,885.06
P000154,O000154,Credit Card,Successful,640.87
P000155,O000155,Credit Card,Successful,1127.09
P000156,O000156,Cash,Successful,868.51
P000157,O000157,Cash,Successful,560.4699999999999
P000158,O000158,Debit Card,Successful,1376.3600000000001
P000159,O000159,Credit Card,Successful,382.46
P000160,O000160,Cash,Successful,1120.29
P000161,O000161,Cash,Successful,1342.49
P000162,O000162,Cash,Successful,1601.06
P000163,O000163,Cash,Failed,1000.96
P000164,O000164,Cash,Successful,935.55
P000165,O000165,Wallet,Failed,1403.07
P000166,O000166,Wallet,Successful,1382.55
P000167,O000167,Credit Card,Successful,1189.8500000000001
P000168,O000168,Wallet,Successful,1399.4499999999998
P000169,O000169,UPI,Successful,980.14
P000170,O000170,Cash,Successful,156.47
P000171,O000171,Cash,Successful,373.25
P000172,O000172,Wallet,Successful,983.96
P000173,O000173,Credit Card,Successful,655.33
P000174,O000174,Credit Card,Successful,1112.12
P000175,O000175,UPI,Successful,948.7
P000176,O000176,Wallet,Successful,832.51
P000177,O000177,Wallet,Successful,430.59000000000003
P000178,O000178,Cash,Successful,1274.07
P000179,O000179,Wallet,Successful,1407.94
P000180,O000180,Credit Card,Successful,1556.93
P000181,O000181,Credit Card,Successful,294.59
P000182,O000182,Credit Card,Successful,826.4599999999999
P000183,O000183,UPI,Successful,1523.43
P000184,O000184,Wallet,Successful,1078.05
P000185,O000185,Wallet,Successful,713.3399999999999
P000186,O000186,Credit Card,Successful,622.46
P000187,O000187,UPI,Successful,659.65
P000188,O000188,Wallet,Refunded,429.97
P000189,O000189,Credit Card,Successful,336.4
P000190,O000190,Cash,Successful,932.5899999999999
P000191,O000191,Credit Card,Successful,1012.5999999999999
P000192,O000192,Debit Card,Successful,1121.38
P000193,O000193,Cash,Successful,587.2900000000001
P000194,O000194,Wallet,Successful,746.4100000000001
P000195,O000195,UPI,Successful,1292.7
P000196,O000196,Credit Card,Successful,1732.6100000000001
P000197,O000197,Cash,Failed,556.51
P000198,O000198,Credit Card,Successful,484.46000000000004
P000199,O000199,Cash,Successful,872.06
P000200,O000200,UPI,Successful,1438.3799999999999
P000201,O000201,UPI,Successful,1389.9
P000202,O000202,Debit Card,Failed,1018.5400000000001
P000203,O000203,Cash,Successful,1584.41
P000204,O000204,Cash,Successful,879.77
P000205,O000205,Debit Card,Successful,160.85999999999999
P000206,O000206,Credit Card,Successful,1755.52
P000207,O000207,UPI,Successful,458.71
P000208,O000208,Credit Card,Failed,331.42999999999995
P000209,O000209,Cash,Successful,1829.88
P000210,O000210,Wallet,Successful,664.31
P000211,O000211,Debit Card,Successful,314.69
P000212,O000212,Cash,Successful,601.88
P000213,O000213,UPI,Successful,783.55
P000214,O000214,Debit Card,Successful,262.29
P000215,O000215,UPI,Successful,552.47
P000216,O000216,Credit Card,Successful,1096.9699999999998
P000217,O000217,UPI,Successful,1455.19
P000218,O000218,Credit Card,Successful,814.63
P000219,O000219,Cash,Successful,1056.88
P000220,O000220,Debit Card,Successful,1288.02
P000221,O000221,Credit Card,Successful,188.5
P000222,O000222,Cash,Successful,673.74
P000223,O000223,Cash,Successful,1168.54
P000224,O000224,UPI,Successful,1159.54
P000225,O000225,UPI,Successful,647.4
P000226,O000226,Cash,Successful,110.38
P000227,O000227,UPI,Refunded,110.95
P000228,O000228,Cash,Successful,830.4300000000001
P000229,O000229,Credit Card,Successful,1057.55
P000230,O000230,Credit Card,Successful,1030.27
P000231,O000231,Debit Card,Successful,1374.9299999999998
P000232,O000232,Credit Card,Successful,1462.45
P000233,O000233,Credit Card,Successful,1751.82
P000234,O000234,Wallet,Successful,1235.99
P000235,O000235,UPI,Successful,858.7599999999999
P000236,O000236,UPI,Successful,299.12
P000237,O000237,Cash,Successful,637.1299999999999
P000238,O000238,Cash,Failed,920.8600000000001
P000239,O000239,Credit Card,Successful,1735.75
P000240,O000240,Wallet,Successful,321.63
P000241,O000241,Wallet,Successful,1499.25
P000242,O000242,Credit Card,Successful,1574.37
P000243,O000243,Credit Card,Successful,1502.28
P000244,O000244,Cash,Successful,1351.76
P000245,O000245,Debit Card,Successful,572.34
P000246,O000246,UPI,Successful,102.49
P000247,O000247,UPI,Successful,489.68
P000248,O000248,Debit Card,Successful,1559.8799999999999
P000249,O000249,Cash,Successful,278.79999999999995
P000250,O000250,Wallet,Successful,549.67
P000251,O000251,Credit Card,Successful,907.62
P000252,O000252,UPI,Successful,1189.8500000000001
P000253,O000253,Cash,Refunded,927.7700000000001
P000254,O000254,Wallet,Successful,1749.73
P000255,O000255,Cash,Successful,114.95
P000256,O000256,UPI,Refunded,1016.6300000000001
P000257,O000257,Cash,Successful,954.9100000000001
P000258,O000258,Debit Card,Successful,501.5899999999999
P000259,O000259,Cash,Refunded,923.1100000000001
P000260,O000260,Debit Card,Successful,1058.29
P000261,O000261,UPI,Successful,1207.74
P000262,O000262,Wallet,Successful,199.4
P000263,O000263,Wallet,Successful,1551.39
P000264,O000264,Debit Card,Successful,1408.7199999999998
P000265,O000265,UPI,Successful,287.04
P000266,O000266,Cash,Successful,692.0699999999999
P000267,O000267,Credit Card,Successful,994.9899999999999
P000268,O000268,Credit Card,Successful,304.22
P000269,O000269,Wallet,Successful,824.19
P000270,O000270,Debit Card,Successful,421.47999999999996
P000271,O000271,UPI,Successful,1619.21
P000272,O000272,UPI,Successful,720.54
P000273,O000273,Cash,Successful,1893.37
P000274,O000274,Cash,Successful,161.52
P000275,O000275,Debit Card,Successful,257.92999999999995
P000276,O000276,UPI,Successful,703.21
P000277,O000277,Cash,Successful,1698.79
P000278,O000278,UPI,Successful,860.3700000000001
P000279,O000279,Wallet,Successful,1486.01
P000280,O000280,Cash,Successful,672.54
P000281,O000281,Credit Card,Successful,162.91
P000282,O000282,Credit Card,Successful,1100.01
P000283,O000283,Wallet,Successful,1300.83
P000284,O000284,Credit Card,Successful,183.98000000000002
P000285,O000285,Wallet,Successful,369.69
P000286,O000286,Debit Card,Successful,749.77
P000287,O000287,UPI,Successful,790.52
P000288,O000288,Credit Card,Successful,1146.59
P000289,O000289,Wallet,Successful,682.6600000000001
P000290,O000290,Debit Card,Successful,1055.8899999999999
P000291,O000291,Credit Card,Successful,1115.63
P000292,O000292,Debit Card,Successful,1227.43
P000293,O000293,Debit Card,Successful,1019.1800000000001
P000294,O000294,Debit Card,Successful,1203.27
P000295,O000295,UPI,Successful,992.95
P000296,O000296,UPI,Successful,1490.49
P000297,O000297,Credit Card,Successful,1182.05
P000298,O000298,Wallet,Successful,323.17
P000299,O000299,Wallet,Successful,527.2800000000001
P000300,O000300,Cash,Successful,719.9399999999999
P000301,O000301,UPI,Successful,270.64
P000302,O000302,Cash,Successful,1084.72
P000303,O000303,UPI,Successful,1069.44
P000304,O000304,UPI,Successful,976.06
P000305,O000305,Debit Card,Successful,760.81
P000306,O000306,Cash,Successful,874.94
P000307,O000307,Cash,Successful,87.34
P000308,O000308,UPI,Successful,239.26
P000309,O000309,Debit Card,Successful,1332.1799999999998
P000310,O000310,Cash,Successful,512.01
P000311,O000311,Credit Card,Successful,216.87999999999997
P000312,O000312,UPI,Successful,658.0600000000001
P000313,O000313,Wallet,Successful,510.12
P000314,O000314,Cash,Successful,120.03
P000315,O000315,UPI,Successful,860.0
P000316,O000316,Debit Card,Successful,116.98000000000002
P000317,O000317,Debit Card,Successful,92.44999999999999
P000318,O000318,UPI,Successful,1476.93
P000319,O000319,Debit Card,Successful,576.4100000000001
P000320,O000320,Credit Card,Successful,1088.16
P000321,O000321,Debit Card,Successful,537.6800000000001
P000322,O000322,Debit Card,Successful,1357.99
P000323,O000323,Credit Card,Successful,1305.1200000000001
P000324,O000324,Credit Card,Successful,574.5699999999999
P000325,O000325,UPI,Successful,358.8
P000326,O000326,UPI,Successful,339.29999999999995
P000327,O000327,Credit Card,Successful,1348.0
P000328,O000328,UPI,Successful,675.39
P000329,O000329,UPI,Failed,519.89
P000330,O000330,Credit Card,Successful,1583.86
P000331,O000331,Cash,Successful,732.1899999999999
P000332,O000332,Wallet,Successful,857.4100000000001
P000333,O000333,Debit Card,Successful,1645.71
P000334,O000334,Credit Card,Successful,1571.54
P000335,O000335,Credit Card,Successful,1243.01
P000336,O000336,Cash,Successful,1698.99
P000337,O000337,Wallet,Successful,1761.3600000000001
P000338,O000338,UPI,Successful,1579.3200000000002
P000339,O000339,Credit Card,Successful,601.28
P000340,O000340,Debit Card,Successful,757.12
P000341,O000341,UPI,Successful,482.40000000000003
P000342,O000342,Cash,Failed,1288.24
P000343,O000343,Wallet,Successful,279.24
P000344,O000344,Debit Card,Successful,637.5999999999999
P000345,O000345,UPI,Successful,100.08
P000346,O000346,Cash,Successful,938.4599999999999
P000347,O000347,Debit Card,Successful,1276.5700000000002
P000348,O000348,Wallet,Successful,404.38000000000005
P000349,O000349,Cash,Successful,1104.1
P000350,O000350,Wallet,Successful,725.87
P000351,O000351,Wallet,Failed,606.05
P000352,O000352,Debit Card,Successful,1428.53
P000353,O000353,Debit Card,Successful,1055.6399999999999
P000354,O000354,UPI,Successful,491.08
P000355,O000355,UPI,Successful,1527.7
P000356,O000356,Cash,Successful,738.99
P000357,O000357,Cash,Successful,1149.6100000000001
P000358,O000358,UPI,Successful,1458.8899999999999
P000359,O000359,Cash,Successful,866.3100000000001
P000360,O000360,UPI,Failed,964.37
P000361,O000361,Debit Card,Successful,547.98
P000362,O000362,UPI,Successful,894.3299999999999
P000363,O000363,Credit Card,Successful,599.9399999999999
P000364,O000364,Debit Card,Successful,1105.41
P000365,O000365,UPI,Failed,1345.8899999999999
P000366,O000366,UPI,Successful,1260.4199999999998
P000367,O000367,Wallet,Successful,1346.33
P000368,O000368,Wallet,Successful,171.03
P000369,O000369,Cash,Successful,197.82000000000002
P000370,O000370,Wallet,Successful,417.62
P000371,O000371,Debit Card,Successful,1961.81
P000372,O000372,Debit Card,Successful,1591.81
P000373,O000373,UPI,Successful,1344.85
P000374,O000374,Cash,Successful,593.96
P000375,O000375,UPI,Successful,919.8899999999999
P000376,O000376,UPI,Successful,1069.0
P000377,O000377,Credit Card,Successful,1068.05
P000378,O000378,Cash,Successful,1452.5
P000379,O000379,Wallet,Failed,706.9799999999999
P000380,O000380,Wallet,Successful,1192.4
P000381,O000381,UPI,Failed,1240.8899999999999
P000382,O000382,Cash,Failed,472.84000000000003
P000383,O000383,Cash,Refunded,1585.22
P000384,O000384,Credit Card,Successful,774.53
P000385,O000385,Credit Card,Failed,1425.93
P000386,O000386,Cash,Successful,1331.42
P000387,O000387,Wallet,Successful,881.7
P000388,O000388,Debit Card,Successful,594.73
P000389,O000389,Wallet,Successful,1142.8400000000001
P000390,O000390,Cash,Successful,229.11999999999998
P000391,O000391,Credit Card,Successful,1953.73
P000392,O000392,UPI,Successful,438.75
P000393,O000393,Wallet,Successful,606.5699999999999
P000394,O000394,UPI,Successful,1804.68
P000395,O000395,Wallet,Successful,441.58
P000396,O000396,Debit Card,Successful,409.65000000000003
P000397,O000397,UPI,Successful,1317.4399999999998
P000398,O000398,Cash,Failed,556.95
P000399,O000399,Debit Card,Successful,240.92000000000002
P000400,O000400,Debit Card,Successful,520.57
P000401,O000401,Wallet,Successful,1643.41
P000402,O000402,UPI,Successful,457.18
P000403,O000403,Cash,Failed,1407.3999999999999
P000404,O000404,Cash,Successful,626.93
P000405,O000405,Wallet,Successful,461.75
P000406,O000406,Wallet,Successful,270.45
P000407,O000407,Credit Card,Successful,1487.5100000000002
P000408,O000408,Cash,Successful,819.9299999999998
P000409,O000409,Debit Card,Successful,307.75
P000410,O000410,UPI,Successful,358.0
P000411,O000411,UPI,Successful,748.78
P000412,O000412,Cash,Successful,1014.32
P000413,O000413,Debit Card,Successful,424.85
P000414,O000414,Debit Card,Successful,627.55
P000415,O000415,Credit Card,Successful,1282.69
P000416,O000416,Cash,Successful,698.6700000000001
P000417,O000417,Credit Card,Successful,90.71
P000418,O000418,Wallet,Failed,192.51000000000002
P000419,O000419,UPI,Failed,894.1800000000001
P000420,O000420,Wallet,Successful,203.41
P000421,O000421,UPI,Successful,423.16
P000422,O000422,Wallet,Successful,1322.97
P000423,O000423,UPI,Successful,825.53
P000424,O000424,UPI,Successful,880.31
P000425,O000425,Wallet,Successful,1190.06
P000426,O000426,Wallet,Successful,1206.88
P000427,O000427,Wallet,Successful,366.75
P000428,O000428,UPI,Failed,351.26
P000429,O000429,Cash,Successful,306.3
P000430,O000430,Cash,Successful,1544.41
P000431,O000431,Debit Card,Successful,1150.3
P000432,O000432,Wallet,Successful,221.73999999999998
P000433,O000433,Debit Card,Successful,429.95000000000005
P000434,O000434,Cash,Successful,1248.27
P000435,O000435,UPI,Successful,144.98000000000002
P000436,O000436,Cash,Successful,1244.0
P000437,O000437,UPI,Successful,1338.79
P000438,O000438,UPI,Successful,199.35
P000439,O000439,Wallet,Successful,358.31
P000440,O000440,Debit Card,Successful,100.95
P000441,O000441,Cash,Successful,276.0
P000442,O000442,Debit Card,Successful,1011.27
P000443,O000443,Debit Card,Successful,154.03
P000444,O000444,UPI,Successful,724.11
P000445,O000445,Credit Card,Successful,751.1400000000001
P000446,O000446,UPI,Successful,1292.44
P000447,O000447,UPI,Successful,726.37
P000448,O000448,Wallet,Successful,315.78999999999996
P000449,O000449,Debit Card,Successful,583.1899999999999
P000450,O000450,Wallet,Successful,1261.66
P000451,O000451,Credit Card,Successful,258.96
P000452,O000452,Wallet,Failed,466.78999999999996
P000453,O000453,Cash,Failed,1397.6599999999999
P000454,O000454,Debit Card,Successful,92.75999999999999
P000455,O000455,Wallet,Successful,350.74
P000456,O000456,Credit Card,Successful,1378.09
P000457,O000457,Cash,Successful,288.79
P000458,O000458,Debit Card,Successful,158.47
P000459,O000459,Cash,Successful,264.69
P000460,O000460,Wallet,Successful,1365.37
P000461,O000461,Wallet,Successful,1536.63
P000462,O000462,Wallet,Successful,1199.51
P000463,O000463,Cash,Successful,276.3
P000464,O000464,Cash,Successful,357.75
P000465,O000465,UPI,Successful,859.28
P000466,O000466,Wallet,Refunded,1071.88
P000467,O000467,Credit Card,Successful,1232.18
P000468,O000468,Cash,Successful,934.81
P000469,O000469,Debit Card,Failed,1926.1000000000001
P000470,O000470,UPI,Successful,357.7
P000471,O000471,Cash,Successful,314.08
P000472,O000472,UPI,Successful,1343.17
P000473,O000473,Debit Card,Successful,597.4799999999999
P000474,O000474,UPI,Successful,718.1099999999999
P000475,O000475,Wallet,Successful,997.97
P000476,O000476,Cash,Successful,757.48
P000477,O000477,Credit Card,Successful,543.6899999999999
P000478,O000478,Cash,Successful,1624.91
P000479,O000479,UPI,Successful,331.52
P000480,O000480,Cash,Successful,650.24
P000481,O000481,Wallet,Successful,78.24000000000001
P000482,O000482,UPI,Failed,1235.52
P000483,O000483,Wallet,Failed,393.5
P000484,O000484,Cash,Successful,1367.03
