order_id,customer_id,restaurant_id,delivery_partner_id,order_date,order_time,order_amount,discount,delivery_fee,status,estimated_delivery_time,actual_delivery_time
O000001,C00403,R0161,D0069,2025-03-28,11:01:00,359.51,30.27,41.41,Delivered,38,34
O000002,C04244,R0064,D0318,2025-05-09,16:15:00,1071.02,295.48,34.42,Delivered,50,59
O000003,C03147,R0024,D0324,2025-07-13,15:08:00,471.02,71.83,39.54,Delivered,44,43
O000004,C02043,R0014,D0243,2025-11-15,11:43:00,1059.04,271.35,59.18,Delivered,49,74
O000005,C01014,R0073,D0058,2025-02-12,10:37:00,658.42,151.61,88.23,Delivered,28,48
O000006,C02501,R0125,D0163,2025-12-22,21:02:00,201.61,22.76,36.68,Delivered,49,57
O000007,C02983,R0013,D0222,2025-06-08,08:05:00,1057.05,69.14,49.46,Delivered,51,56
O000008,C01783,R0008,D0462,2025-04-15,14:14:00,445.48,13.35,83.78,Delivered,34,47
O000009,C03944,R0029,D0215,2025-08-17,08:35:00,406.19,117.06,73.15,Delivered,55,59
O000010,C00204,R0054,D0107,2025-08-05,14:45:00,830.3,80.88,22.3,Delivered,54,65
O000011,C00199,R0191,D0080,2025-09-21,21:14:00,787.4,159.0,40.02,Delivered,20,32
O000012,C00908,R0034,D0222,2025-02-18,22:37:00,1747.22,382.8,30.19,Delivered,40,59
O000013,C00491,R0024,D0081,2025-12-18,16:51:00,1172.81,69.55,23.3,Delivered,55,64
O000014,C04081,R0180,D0039,2025-05-03,08:48:00,1723.68,358.77,95.77,Delivered,22,54
O000015,C01228,R0101,D0387,2025-10-30,13:44:00,378.99,1.06,69.68,Delivered,34,61
O000016,C03008,R0105,D0110,2025-01-25,21:21:00,778.89,97.72,63.34,Delivered,43,68
O000017,C02093,R0139,D0155,2025-05-11,16:09:00,1155.13,121.43,88.81,Delivered,35,66
O000018,C00668,R0164,D0449,2025-08-12,14:48:00,390.94,109.4,67.32,Delivered,26,56
O000019,C04834,R0120,D0264,2025-04-09,18:06:00,343.31,101.55,66.22,Delivered,35,35
O000020,C00037,R0198,D0219,2025-12-18,10:24:00,1356.66,117.19,36.15,Delivered,47,49
O000021,C00900,R0197,D0116,2025-10-17,11:22:00,1342.28,245.64,69.63,Delivered,31,36
O000022,C00104,R0055,D0238,2025-07-16,19:38:00,544.9,121.82,73.44,Delivered,44,64
O000023,C03130,R0090,D0214,2025-04-19,16:51:00,531.53,30.47,90.51,Delivered,49,72
O000024,C04010,R0165,D0107,2025-12-14,09:46:00,1516.35,312.34,54.03,Delivered,27,23
O000025,C02878,R0053,D0215,2025-08-08,22:34:00,322.28,24.92,36.31,Delivered,30,48
O000026,C02317,R0116,D0252,2025-09-21,11:59:00,1854.2,93.93,65.54,Delivered,55,67
O000027,C01365,R0185,D0221,2025-07-27,20:05:00,1893.1,483.12,97.8,Delivered,55,82
O000028,C04834,R0189,D0335,2025-11-15,17:53:00,1754.89,264.54,26.02,Delivered,55,70
O000029,C03033,R0181,D0162,2025-03-23,19:36:00,500.29,44.57,20.28,Delivered,49,65
O000030,C03197,R0114,D0426,2025-01-25,14:45:00,131.92,16.02,22.87,Delivered,25,52
O000031,C04567,R0127,D0285,2025-07-05,10:02:00,1879.71,232.99,86.51,Delivered,54,80
O000032,C03543,R0114,D0191,2025-01-08,15:49:00,753.55,174.08,20.09,Delivered,49,76
O000033,C02566,R0078,D0227,2025-05-04,17:05:00,689.78,183.5,37.72,Delivered,33,67
O000034,C02578,R0098,D0281,2025-05-29,15:55:00,597.19,85.22,98.52,Delivered,56,64
O000035,C02594,R0030,D0494,2025-04-08,11:24:00,564.62,54.69,79.67,Pending,47,67
O000036,C03629,R0119,D0176,2025-08-04,16:29:00,1495.65,326.32,37.5,Cancelled,59,80
O000037,C01858,R0122,D0490,2025-04-11,19:10:00,1825.0,495.66,37.75,Delivered,24,28
O000038,C02511,R0163,D0038,2025-08-06,19:22:00,1593.51,54.54,56.67,Delivered,40,71
O000039,C03937,R0078,D0281,2025-09-16,14:42:00,1380.81,330.07,26.08,Delivered,25,26
O000040,C03883,R0098,D0398,2025-12-22,16:44:00,646.74,108.1,72.24,Pending,43,54
O000041,C01918,R0185,D0252,2025-01-11,10:38:00,1139.23,296.52,59.73,Delivered,35,33
O000042,C03124,R0065,D0495,2025-02-28,13:34:00,550.24,84.86,53.54,Delivered,26,53
O000043,C02013,R0051,D0051,2025-09-07,15:10:00,311.86,80.7,59.22,Cancelled,45,55
O000044,C03592,R0008,D0272,2025-05-20,22:24:00,328.56,54.65,41.75,Delivered,40,58
O000045,C03777,R0038,D0461,2025-12-01,16:59:00,1247.16,54.21,37.08,Delivered,37,52
O000046,C01280,R0033,D0453,2025-02-07,15:43:00,173.11,0.26,25.48,Delivered,36,59
O000047,C03710,R0091,D0266,2025-05-02,18:53:00,1949.18,362.56,70.04,Delivered,40,49
O000048,C03643,R0187,D0112,2025-03-06,09:14:00,1991.39,353.74,59.53,Cancelled,25,47
O000049,C03613,R0194,D0063,2025-05-26,09:51:00,383.91,24.21,76.88,Delivered,38,50
O000050,C01068,R0185,D0178,2025-10-29,18:25:00,911.87,232.7,91.55,Delivered,21,23
O000051,C04825,R0092,D0273,2025-05-05,16:04:00,1559.34,405.94,99.44,Pending,38,41
O000052,C01170,R0173,D0433,2025-11-08,14:58:00,1914.63,461.91,38.2,Delivered,41,41
O000053,C04747,R0119,D0136,2025-07-10,18:13:00,1793.51,503.93,33.44,Pending,35,63
O000054,C02053,R0002,D0150,2025-09-20,23:25:00,584.03,88.77,92.97,Delivered,44,41
O000055,C02695,R0100,D0390,2025-12-27,22:09:00,261.87,55.17,52.13,Delivered,30,42
O000056,C00443,R0053,D0034,2025-10-23,16:08:00,648.59,175.99,84.28,Delivered,31,44
O000057,C00293,R0113,D0458,2025-07-01,15:47:00,930.75,127.4,30.83,Delivered,47,50
O000058,C02027,R0109,D0005,2025-06-08,16:47:00,783.88,145.43,43.59,Delivered,21,28
O000059,C02493,R0007,D0148,2025-12-19,21:57:00,1570.35,241.58,20.89,Pending,57,91
O000060,C01955,R0049,D0348,2025-11-04,20:23:00,589.8,173.98,99.19,Cancelled,31,30
O000061,C00501,R0167,D0270,2025-10-14,15:08:00,1731.41,227.31,20.45,Delivered,44,77
O000062,C01937,R0131,D0474,2025-06-11,23:05:00,528.71,50.29,33.73,Delivered,21,51
O000063,C03900,R0180,D0162,2025-09-20,09:55:00,786.57,148.57,64.6,Delivered,52,70
O000064,C04335,R0054,D0498,2025-08-05,11:09:00,950.84,80.07,88.03,Delivered,32,63
O000065,C03523,R0140,D0478,2025-06-30,13:50:00,653.31,168.08,83.53,Cancelled,43,48
O000066,C02193,R0008,D0246,2025-04-01,21:38:00,1556.11,416.53,40.25,Delivered,39,43
O000067,C02381,R0072,D0493,2025-01-17,10:24:00,878.14,90.91,90.42,Delivered,39,36
O000068,C02003,R0050,D0296,2025-05-05,20:38:00,1785.35,191.94,25.57,Delivered,31,42
O000069,C02213,R0011,D0314,2025-09-17,22:33:00,1930.82,50.18,46.55,Delivered,56,55
O000070,C00174,R0174,D0420,2025-12-21,16:35:00,1733.63,133.09,41.04,Delivered,27,58
O000071,C03014,R0093,D0371,2025-08-02,08:43:00,1092.99,22.26,72.47,Delivered,55,84
O000072,C04770,R0194,D0142,2025-08-27,11:43:00,1068.64,242.76,23.06,Cancelled,52,86
O000073,C00867,R0162,D0437,2025-06-29,16:49:00,510.16,27.6,88.35,Delivered,50,62
O000074,C04647,R0092,D0055,2025-06-21,18:07:00,1225.33,29.02,96.91,Delivered,57,78
O000075,C04046,R0186,D0068,2025-05-23,17:27:00,1910.18,94.17,38.9,Delivered,48,68
O000076,C01526,R0149,D0172,2025-11-13,13:29:00,253.15,28.66,92.16,Delivered,37,62
O000077,C02471,R0010,D0163,2025-09-01,08:46:00,1529.67,193.88,92.5,Delivered,39,46
O000078,C02754,R0010,D0356,2025-08-20,16:32:00,1752.13,472.33,70.11,Delivered,27,37
O000079,C00167,R0094,D0156,2025-06-21,13:32:00,1974.74,165.65,60.56,Delivered,59,75
O000080,C04006,R0133,D0260,2025-10-04,11:55:00,736.04,158.48,81.98,Delivered,56,66
O000081,C04313,R0025,D0470,2025-03-18,17:53:00,775.59,208.23,61.44,Delivered,43,45
O000082,C04699,R0171,D0294,2025-10-30,14:09:00,536.57,137.9,79.54,Delivered,20,46
O000083,C01336,R0169,D0251,2025-11-27,19:48:00,1599.22,95.46,27.42,Delivered,22,34
O000084,C00412,R0025,D0035,2025-02-18,13:34:00,366.08,30.72,42.82,Cancelled,57,84
O000085,C04587,R0115,D0117,2025-09-05,08:38:00,608.76,9.94,51.55,Delivered,30,62
O000086,C00558,R0004,D0454,2025-10-10,18:31:00,661.0,95.84,36.4,Delivered,59,83
O000087,C03145,R0088,D0329,2025-10-14,08:07:00,812.37,98.77,38.43,Cancelled,58,65
O000088,C04957,R0013,D0247,2025-02-01,19:56:00,901.16,147.42,80.93,Cancelled,22,29
O000089,C04040,R0174,D0457,2025-06-07,17:15:00,1162.15,159.64,33.89,Delivered,40,38
O000090,C00871,R0063,D0087,2025-01-18,09:15:00,1901.91,419.83,28.97,Delivered,24,58
O000091,C04046,R0196,D0126,2025-03-04,10:05:00,569.83,114.51,42.43,Delivered,20,20
