restaurant_id,restaurant_name,city,cuisine,rating,avg_preparation_time
R0001,Restaurant_1,Noida,Biryani,2.8,27
R0002,Restaurant_2,Pune,Mughlai,4.3,24
R0003,Restaurant_3,Mumbai,South Indian,3.4,34
R0004,Restaurant_4,Pune,North Indian,4.9,41
R0005,Restaurant_5,Bangalore,Mughlai,3.3,29
R0006,Restaurant_6,Mumbai,Cafe,5.0,26
R0007,Restaurant_7,Delhi,South Indian,3.0,20
R0008,Restaurant_8,Chennai,Mughlai,2.8,22
R0009,Restaurant_9,Meerut,Chinese,3.3,34
R0010,Restaurant_10,Ghaziabad,Biryani,4.7,29
R0011,Restaurant_11,Chennai,Chinese,3.8,34
R0012,Restaurant_12,Gurgaon,Healthy,2.8,40
R0013,Restaurant_13,Noida,Fast Food,3.0,10
R0014,Restaurant_14,Hyderabad,South Indian,3.3,25
R0015,Restaurant_15,Pune,Desserts,4.0,37
R0016,Restaurant_16,Chennai,Desserts,3.3,30
R0017,Restaurant_17,Noida,Mughlai,4.4,39
R0018,Restaurant_18,Bangalore,Biryani,4.0,12
R0019,Restaurant_19,Gurgaon,North Indian,4.7,43
R0020,Restaurant_20,Gurgaon,Desserts,3.8,15
R0021,Restaurant_21,Meerut,North Indian,3.3,38
R0022,Restaurant_22,Mumbai,Desserts,5.0,12
R0023,Restaurant_23,Mumbai,South Indian,3.4,42
R0024,Restaurant_24,Chennai,Desserts,3.6,20
R0025,Restaurant_25,Delhi,Healthy,4.5,14
R0026,Restaurant_26,Mumbai,Italian,2.7,41
R0027,Restaurant_27,Mumbai,Mughlai,3.5,27
R0028,Restaurant_28,Bangalore,Fast Food,2.7,29
R0029,Restaurant_29,Bangalore,Desserts,2.8,37
R0030,Restaurant_30,Noida,Biryani,2.5,22
R0031,Restaurant_31,Gurgaon,Fast Food,2.5,35
R0032,Restaurant_32,Gurgaon,North Indian,3.5,25
R0033,Restaurant_33,Gurgaon,Chinese,4.5,34
R0034,Restaurant_34,Noida,Healthy,4.0,19
R0035,Restaurant_35,Hyderabad,Cafe,4.1,38
R0036,Restaurant_36,Bangalore,Cafe,3.8,29
R0037,Restaurant_37,Noida,Fast Food,4.5,35
R0038,Restaurant_38,Gurgaon,Chinese,4.7,41
R0039,Restaurant_39,Chennai,Biryani,4.6,33
R0040,Restaurant_40,Bangalore,Fast Food,4.5,40
R0041,Restaurant_41,Ghaziabad,North Indian,3.0,21
R0042,Restaurant_42,Mumbai,South Indian,4.0,19
R0043,Restaurant_43,Bangalore,Fast Food,4.0,15
R0044,Restaurant_44,Bangalore,Cafe,3.8,16
R0045,Restaurant_45,Gurgaon,Italian,3.7,40
R0046,Restaurant_46,Pune,Cafe,2.7,36
R0047,Restaurant_47,Hyderabad,Chinese,2.8,17
R0048,Restaurant_48,Bangalore,North Indian,4.8,12
R0049,Restaurant_49,Noida,Biryani,4.1,30
R0050,Restaurant_50,Delhi,Healthy,3.2,10
R0051,Restaurant_51,Gurgaon,Mughlai,3.2,24
R0052,Restaurant_52,Gurgaon,Italian,4.0,16
R0053,Restaurant_53,Pune,Healthy,3.5,24
R0054,Restaurant_54,Meerut,Fast Food,3.6,34
R0055,Restaurant_55,Delhi,Italian,2.7,12
R0056,Restaurant_56,Ghaziabad,Chinese,2.8,39
R0057,Restaurant_57,Mumbai,North Indian,3.5,23
R0058,Restaurant_58,Meerut,Biryani,4.2,13
R0059,Restaurant_59,Chennai,Healthy,2.6,12
R0060,Restaurant_60,Bangalore,Fast Food,3.3,14
R0061,Restaurant_61,Chennai,North Indian,4.2,34
R0062,Restaurant_62,Ghaziabad,Fast Food,4.5,40
R0063,Restaurant_63,Noida,Biryani,3.0,20
R0064,Restaurant_64,Hyderabad,Healthy,4.3,17
R0065,Restaurant_65,Noida,Fast Food,4.9,35
R0066,Restaurant_66,Noida,North Indian,4.8,11
R0067,Restaurant_67,Noida,Fast Food,4.5,37
R0068,Restaurant_68,Delhi,Healthy,4.3,19
R0069,Restaurant_69,Gurgaon,North Indian,3.1,30
R0070,Restaurant_70,Bangalore,Chinese,4.1,37
R0071,Restaurant_71,Mumbai,South Indian,4.1,42
R0072,Restaurant_72,Delhi,North Indian,3.5,20
R0073,Restaurant_73,Meerut,Italian,3.7,10
R0074,Restaurant_74,Meerut,South Indian,4.2,42
R0075,Restaurant_75,Delhi,Fast Food,4.9,12
R0076,Restaurant_76,Ghaziabad,Healthy,3.2,35
R0077,Restaurant_77,Chennai,North Indian,3.1,24
R0078,Restaurant_78,Delhi,Healthy,4.0,23
R0079,Restaurant_79,Delhi,North Indian,2.8,32
R0080,Restaurant_80,Mumbai,Healthy,4.0,17
R0081,Restaurant_81,Mumbai,Italian,2.7,29
R0082,Restaurant_82,Gurgaon,Mughlai,3.7,15
R0083,Restaurant_83,Mumbai,South Indian,4.1,42
R0084,Restaurant_84,Gurgaon,South Indian,2.7,37
R0085,Restaurant_85,Noida,North Indian,3.0,39
R0086,Restaurant_86,Chennai,Fast Food,3.3,26
R0087,Restaurant_87,Ghaziabad,Biryani,3.4,18
R0088,Restaurant_88,Chennai,Biryani,4.2,37
R0089,Restaurant_89,Gurgaon,South Indian,3.8,16
R0090,Restaurant_90,Mumbai,Mughlai,3.5,37
R0091,Restaurant_91,Delhi,Biryani,3.6,26
R0092,Restaurant_92,Bangalore,Desserts,2.5,14
